Title,Category,Location_Address,Location_City,Location_Venue,Event_Start
Kopdar Japan Manga Lover,Lainnya,"Jl. K.S. Tubun No.22, Manahan, Kec. Banjarsari, Kota Surakarta",Surakarta,SO RAMEN,29-Oct-2023
Kopdar Wagyu Lovers,Lainnya,"Jl. Gajahmada No.123, Pekunden, Kec. Semarang Tengah, Kota Semarang ",Semarang, Hotel Tentrem.,29-Oct-2023
Kopdar Penikmat Sushi,Lainnya," Jl. Kawi Raya No.31, Wonotingal, Kec. Candisari, Kota Semarang",Semarang, De'Sushi.,29-Oct-2023
PROMO!!!(E-TICKET Festival Ber3) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO AWAL BULAN (E-TICKET VIP) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
(Presale 2 E-Ticket VIP) Creative Fest 2023,Musik,Jalan Pontianak Kota,Pontianak,Pontianak Part,07-Oct-2023
PROMO!!!(E-TICKET VIP Ber5) creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO!!!(E-TICKET VIP Ber10) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO!!!(E-TICKET Festival Ber10) creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
Promo batik day (E-TICKET VIP) 175Rb Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
Promo batik day (E-TICKET Festival) 125RB Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
Promo awal bulan ( E-TICKET FESTIVAL) 100 RB  Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO!!!(E+TICKET Festival Ber5) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO!!(E-TICKET Festival Ber8) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
Promo batik day(E-TICKET Festival) 75Rb tercepat Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
Promo batik day (E-TICKET Festival) 100Rb Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO AWAL BULAN (E-TICKET Festival) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
Promo awal bulan (E-TICKET VIP) 150 RB CREATIVE FEST 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO!!!(E-TICKET VIP Ber3) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
PROMO!!!(E-TICKET VIP Ber8) Creative Fest 2023,Musik,"Jl. Ampera No.88, Sungai Jawi, Kec. Pontianak Kota, Kota Pontianak, Ka",Pontianak,Lapangan bola IKIP ,07-Oct-2023
Tips Membaca Buku Cerita Pada Balita,Education,Jln. Sudirman Malang,Malang,Cafe D'Ges,06-Oct-2023
